MBTI,original_sentence,masked_sentence,
ENFJ,오늘 회의 끝나고 같이 점심 먹을래? 다들 너 기다리는 것 같더라.,오늘 회의 끝나고 같이 점심 먹을래? 다들 너 기다리는 것 같더라.,
ENFJ,내가 그때 그 발표 도움 줄게. 네가 워낙 잘하니까 금방 될 거야.,내가 그때 그 발표 도움 줄게. 네가 워낙 잘하니까 금방 될 거야.,
ENFJ,이번 프로젝트 진짜 잘됐어. 팀원들 덕분이라고 [MASK] 생각해.,이번 프로젝트 진짜 잘됐어. 팀원들 덕분이라고 [MASK] 생각해.,
ENFJ,네가 먼저 얘기 꺼내준 게 큰 힘이 됐어. 정말 고마워.,네가 먼저 얘기 꺼내준 게 큰 힘이 됐어. 정말 고마워.,
ENFP,"주말에 갑자기 캠핑 가고 싶은데, 너도 같이 갈래?","주말에 갑자기 캠핑 가고 싶은데, 너도 같이 갈래?",
ENFP,이거 한번 해볼래? 새로운 거 시도하는 게 [MASK] 재미있잖아.,이거 한번 해볼래? 새로운 거 시도하는 게 [MASK] 재미있잖아.,
ENFP,오늘 갑자기 영화 보러 갈래? 즉흥적인 게 딱 너다운 거 같아.,오늘 갑자기 영화 보러 갈래? 즉흥적인 게 딱 너다운 거 같아.,
ENFP,우리 다음엔 또 뭘 할지 생각만 해도 [MASK] 신난다.,우리 다음엔 또 뭘 할지 생각만 해도 [MASK] 신난다.,
ENTJ,이번 주말까지 그 자료 정리할 수 있지? 내가 확인해볼게.,이번 주말까지 그 자료 정리할 수 있지? 내가 확인해볼게.,
ENTJ,계획 다 세웠으니까 바로 실행만 하면 돼. 효율적으로 [MASK] 움직이자.,계획 다 세웠으니까 바로 실행만 하면 돼. 효율적으로 [MASK] 움직이자.,
ENTJ,이번 목표는 확실히 달성 가능해 보인다. 모두들 힘내자.,이번 목표는 확실히 달성 가능해 보인다. 모두들 힘내자.,
ENTJ,이렇게 가면 문제없이 [MASK] 진행될 거야.,이렇게 가면 문제없이 [MASK] 진행될 거야.,
ENTP,이 아이디어 어때? 조금만 다듬으면 대박 날 거 같지 않아?,이 아이디어 어때? 조금만 다듬으면 대박 날 거 같지 않아?,
ENTP,너랑 토론하면 늘 새롭고 재밌어. 역시 넌 [MASK] 창의적이야.,너랑 토론하면 늘 새롭고 재밌어. 역시 넌 [MASK] 창의적이야.,
ENTP,지금 이걸 바로 실험해보자. 생각보다 재밌을 거야.,지금 이걸 바로 실험해보자. 생각보다 재밌을 거야.,
ENTP,누구랑 얘기하든 대화가 끝나면 새로운 [MASK] 아이디어가 떠올라.,누구랑 얘기하든 대화가 끝나면 새로운 [MASK] 아이디어가 떠올라.,
ENFJ,오늘 저녁 모임 준비는 내가 할게. 모두가 즐거웠으면 좋겠어.,오늘 저녁 모임 준비는 내가 할게. 모두가 [MASK]었으면 좋겠어.,
ENFJ,팀워크가 잘 맞는 것 같아. 우리 같이 큰 프로젝트 해보자.,팀워크가 잘 맞는 것 같아. 우리 같이 큰 [MASK] 해보자.,
ENFJ,다들 힘든 거 있으면 말해줘. 내가 도와줄 수 있어.,다들 힘든 거 있으면 말해줘. 내가 [MASK] 수 있어.,
ENFJ,다음 주말에 봉사활동 같이 갈래? 너랑 같이 하면 더 좋을 것 같아.,다음 주말에 봉사활동 같이 갈래? 너랑 같이 하면 더 [MASK] 것 같아.,
ENFP,여행 일정은 대충 정하자. 즉흥적으로 움직이는 게 재밌지.,여행 일정은 대충 정하자. 즉흥적으로 [MASK] 게 재밌지.,
ENFP,이 가게 완전 내 스타일이야. 다음에 친구들이랑 다시 와야겠다.,이 가게 완전 내 스타일이야. 다음에 [MASK]들이랑 다시 와야겠다.,
ENFP,새로운 취미를 찾아보는 중이야. 추천할 만한 거 있어?,새로운 취미를 [MASK] 중이야. 추천할 만한 거 있어?,
ENFP,"갑자기 떠오른 아이디어인데, 이거 한번 해볼래? 재밌을 것 같아!","갑자기 떠오른 [MASK]인데, 이거 한번 해볼래? 재밌을 것 같아!",
ENTJ,이번 프로젝트는 내가 리드할게. 다 같이 열심히 해보자.,이번 프로젝트는 내가 [MASK]할게. 다 같이 열심히 해보자.,
ENTJ,회의 시간은 좀 더 효율적으로 쓸 필요가 있어. 나중에 의견 정리하자.,회의 시간은 좀 더 [MASK]적으로 쓸 필요가 있어. 나중에 의견 정리하자.,
ENTJ,다음 주까지 이 부분 마무리해줘. 목표를 확실히 잡아야 해.,다음 주까지 이 부분 마무리해줘. [MASK]를 확실히 잡아야 해.,
ENTJ,"지금은 조금 어려운 상황이지만, 이걸 기회로 만들어보자.","지금은 조금 어려운 상황이지만, 이걸 [MASK]로 만들어보자.",
ENTP,새로운 아이디어가 떠올랐어. 너랑 이야기 나눠보고 싶어.,새로운 아이디어가 떠올랐어. 너랑 이야기 [MASK] 보고 싶어.,
ENTP,이건 이렇게도 할 수 있지 않을까? 한 번 시도해보자.,이건 이렇게도 할 수 있지 않을까? 한 번 [MASK]해보자.,
ENTP,오늘 점심때 논쟁 진짜 재밌었어. 또 얘기 나누자!,오늘 점심때 논쟁 진짜 [MASK]었어. 또 얘기 나누자!,
ENTP,이렇게 하면 더 나아지지 않을까? 실험해보는 것도 좋을 것 같아.,이렇게 하면 더 나아지지 않을까? [MASK]해보는 것도 좋을 것 같아.,
ENFJ,우리 팀 발표 준비 다 됐어? 난 지금 바로 확인하고 싶어.,우리 팀 발표 준비 다 됐어? 난 지금 바로 [MASK] 싶어.,
ENFJ,이번 프로젝트 너무 잘 끝났어. 모두 정말 수고했어!,이번 프로젝트 너무 잘 끝났어. 모두 정말 [MASK]했어!,
ENFJ,너 요즘 고민 있어 보여. 얘기 나눠볼래?,너 요즘 고민 있어 보여. 얘기 [MASK]볼래?,
ENFJ,다들 의견 좀 더 내봐. 하나라도 더 좋은 아이디어 있으면 좋겠어.,다들 의견 좀 더 내봐. 하나라도 더 좋은 [MASK] 있으면 좋겠어.,
ENFP,갑자기 드라이브 가고 싶지 않아? 바람도 쐬고.,갑자기 드라이브 가고 싶지 않아? 바람도 [MASK]고.,
ENFP,새로운 카페 생겼던데 가볼래? 재밌을 것 같아!,새로운 카페 생겼던데 [MASK]? 재밌을 것 같아!,
ENFP,주말에 즉흥적으로 캠핑 갈래? 텐트는 내가 준비할게.,주말에 즉흥적으로 캠핑 갈래? 텐트는 내가 [MASK].,
ENFP,오늘 날씨 너무 좋지 않아? 산책하면서 이야기하자.,오늘 날씨 너무 좋지 않아? 산책하면서 [MASK].,
ENTJ,이번 목표는 분명히 달성할 거야. 계획은 이미 완벽해.,이번 목표는 분명히 달성할 거야. 계획은 이미 [MASK].,
ENTJ,팀원들 역할 분담 끝났어? 바로 진행하자.,팀원들 역할 분담 끝났어? 바로 [MASK].,
ENTJ,회의 시간 좀 조정해야 할 것 같아. 일정이 겹쳐서.,회의 시간 좀 조정해야 할 것 같아. 일정이 [MASK]서.,
